unit_id,area,year_recorded,year_occurred,topic,category,count
10107301,off_campus,2008,2007,arrests,Weapon,0
10111601,off_campus,2008,2005,arrests,Drug,
10111601,off_campus,2008,2006,arrests,Drug,
10111601,off_campus,2008,2007,arrests,Drug,
10111601,off_campus,2008,2005,arrests,Liquor,
10111601,off_campus,2008,2006,arrests,Liquor,
10111601,off_campus,2008,2007,arrests,Liquor,
10111601,off_campus,2008,2005,arrests,Weapon,
10111601,off_campus,2008,2006,arrests,Weapon,
10111601,off_campus,2008,2007,arrests,Weapon,
10114301,off_campus,2008,2005,arrests,Drug,
10114301,off_campus,2008,2006,arrests,Drug,
10114301,off_campus,2008,2007,arrests,Drug,
10114301,off_campus,2008,2005,arrests,Liquor,
10114301,off_campus,2008,2006,arrests,Liquor,
10114301,off_campus,2008,2007,arrests,Liquor,
10114301,off_campus,2008,2005,arrests,Weapon,
10114301,off_campus,2008,2006,arrests,Weapon,
10114301,off_campus,2008,2007,arrests,Weapon,
10116101,off_campus,2008,2005,arrests,Drug,
10116101,off_campus,2008,2006,arrests,Drug,0
10116101,off_campus,2008,2007,arrests,Drug,0
10116101,off_campus,2008,2005,arrests,Liquor,
10116101,off_campus,2008,2006,arrests,Liquor,0
10116101,off_campus,2008,2007,arrests,Liquor,0
10116101,off_campus,2008,2005,arrests,Weapon,
10116101,off_campus,2008,2006,arrests,Weapon,0
10116101,off_campus,2008,2007,arrests,Weapon,0
10118901,off_campus,2008,2005,arrests,Drug,
10118901,off_campus,2008,2006,arrests,Drug,0
10118901,off_campus,2008,2007,arrests,Drug,0
10118901,off_campus,2008,2005,arrests,Liquor,
10118901,off_campus,2008,2006,arrests,Liquor,0
10118901,off_campus,2008,2007,arrests,Liquor,0
10118901,off_campus,2008,2005,arrests,Weapon,
10118901,off_campus,2008,2006,arrests,Weapon,0
10118901,off_campus,2008,2007,arrests,Weapon,0
10118902,off_campus,2008,2005,arrests,Drug,
10118902,off_campus,2008,2006,arrests,Drug,0
10118902,off_campus,2008,2007,arrests,Drug,
10118902,off_campus,2008,2005,arrests,Liquor,
10118902,off_campus,2008,2006,arrests,Liquor,0
10118902,off_campus,2008,2007,arrests,Liquor,
10118902,off_campus,2008,2005,arrests,Weapon,
10118902,off_campus,2008,2006,arrests,Weapon,0
10118902,off_campus,2008,2007,arrests,Weapon,
10118903,off_campus,2008,2005,arrests,Drug,
10118903,off_campus,2008,2006,arrests,Drug,0
10118903,off_campus,2008,2007,arrests,Drug,
10118903,off_campus,2008,2005,arrests,Liquor,
10118903,off_campus,2008,2006,arrests,Liquor,0
10118903,off_campus,2008,2007,arrests,Liquor,
10118903,off_campus,2008,2005,arrests,Weapon,
10118903,off_campus,2008,2006,arrests,Weapon,0
10118903,off_campus,2008,2007,arrests,Weapon,
10118904,off_campus,2008,2005,arrests,Drug,
10118904,off_campus,2008,2006,arrests,Drug,0
10118904,off_campus,2008,2007,arrests,Drug,
10118904,off_campus,2008,2005,arrests,Liquor,
10118904,off_campus,2008,2006,arrests,Liquor,0
10118904,off_campus,2008,2007,arrests,Liquor,
10118904,off_campus,2008,2005,arrests,Weapon,
10118904,off_campus,2008,2006,arrests,Weapon,0
10118904,off_campus,2008,2007,arrests,Weapon,
10123101,off_campus,2008,2005,arrests,Drug,
10123101,off_campus,2008,2006,arrests,Drug,
10123101,off_campus,2008,2007,arrests,Drug,
10123101,off_campus,2008,2005,arrests,Liquor,
10123101,off_campus,2008,2006,arrests,Liquor,
10123101,off_campus,2008,2007,arrests,Liquor,
10123101,off_campus,2008,2005,arrests,Weapon,
10123101,off_campus,2008,2006,arrests,Weapon,
10123101,off_campus,2008,2007,arrests,Weapon,
10123102,off_campus,2008,2005,arrests,Drug,
10123102,off_campus,2008,2006,arrests,Drug,
10123102,off_campus,2008,2007,arrests,Drug,
10123102,off_campus,2008,2005,arrests,Liquor,
10123102,off_campus,2008,2006,arrests,Liquor,
10123102,off_campus,2008,2007,arrests,Liquor,
10123102,off_campus,2008,2005,arrests,Weapon,
10123102,off_campus,2008,2006,arrests,Weapon,
10123102,off_campus,2008,2007,arrests,Weapon,
10124001,off_campus,2008,2005,arrests,Drug,
10124001,off_campus,2008,2006,arrests,Drug,
10124001,off_campus,2008,2007,arrests,Drug,
10124001,off_campus,2008,2005,arrests,Liquor,
10124001,off_campus,2008,2006,arrests,Liquor,
10124001,off_campus,2008,2007,arrests,Liquor,
10124001,off_campus,2008,2005,arrests,Weapon,
10124001,off_campus,2008,2006,arrests,Weapon,
10124001,off_campus,2008,2007,arrests,Weapon,
10128601,off_campus,2008,2005,arrests,Drug,
10128601,off_campus,2008,2006,arrests,Drug,
10128601,off_campus,2008,2007,arrests,Drug,
10128601,off_campus,2008,2005,arrests,Liquor,
10128601,off_campus,2008,2006,arrests,Liquor,
10128601,off_campus,2008,2007,arrests,Liquor,
10128601,off_campus,2008,2005,arrests,Weapon,
10128601,off_campus,2008,2006,arrests,Weapon,
10128601,off_campus,2008,2007,arrests,Weapon,
10128602,off_campus,2008,2005,arrests,Drug,
10128602,off_campus,2008,2006,arrests,Drug,
10128602,off_campus,2008,2007,arrests,Drug,
10128602,off_campus,2008,2005,arrests,Liquor,
10128602,off_campus,2008,2006,arrests,Liquor,
